chinese word ranking	frequency	word	traditional	pinyin	hanviet	meaning
0	2837.94	我们	我們	wǒmen	ngã môn	chúng ta/chúng tôi/chúng tao/chúng tớ
1	2157.07	没有	沒有	méiyǒu	một dựu/một hữu	không có/không/không bằng/không đủ/không tới/không đến/chưa/chưa từng/chưa hề
2	1921.32	自己	自己	zìjǐ	tự kỷ	chính mình/chính/tự mình/bản thân/mình/nhà
3	1674.9	他们	他們	tāmen	tha môn	bọn họ/chúng nó/họ
4	1512.01	什么	什麼	shíyāo	thập ma/thập yêu	cái gì/gì/nào/gì đó/nhậm chỉ/mọi thứ/nấy/cái quái gì/hả/nào là
6	1319.29	这个	這個	zhègè	giá cá/nghiện cá	này/cái này/việc này/vật này/quá/rất
7	1219.85	就是	就是	jìushì	tựu thị	chính là/hay/nhất định/cứ/đúng/dù cho/ngay cả...cũng
9	1048.04	知道	知道	zhīdào	tri đáo/tri đạo	biết/hiểu/rõ
10	1008.58	因为	因為	yīnwèi	nhân vi	bởi vì/bởi rằng
11	971.9	这样	這樣	zhèyáng	giá dạng/nghiện dạng	như vậy/như thế/thế này
12	933.87	时候	時候	shíhòu	thì hậu/thời hậu	thời điểm/thời gian/lúc/khi
14	889.84	已经	已經	yǐjīng	dĩ kinh	đã muốn/đã/rồi
15	855.24	不是	不是	bùshì	bất thị/phi thị/phầu thị/phủ thị	không phải/điều không phải/không đúng/chỗ sai/lỗi/thất lễ/người có lỗi
17	828.91	还是	還是	huánshì	hoàn thị/toàn thị	vẫn là/chính/hay là/vẫn còn/vẫn/còn/không ngờ/có lẽ/hãy cứ/nên/cứ/hoặc/hay
19	770.52	如果	如果	rúguǒ	như quả	nếu/nếu như/nếu mà/ví bằng
21	649.86	开始	開始	kāishǐ	khai thí/khai thủy	bắt đầu/khởi đầu/giai đoạn đầu/lúc đầu/bắt đầu tiến hành
22	621.84	但是	但是	dànshì	đãn thị	nhưng là/thế nhưng/nhưng/mà/nhưng mà
25	597.97	第一	第一	dìyī	đệ nhất	thứ nhất/đệ nhất/đầu tiên/hạng nhất/bậc nhất/quan trọng nhất
26	589.67	一些	一些	yīxiē	nhất ta/nhất tá	một ít/chút/một số/một phần/mấy/hơi/một chút/nhất ta
27	584.22	这些	這些	zhèxiē	giá ta/giá tá/nghiện ta/nghiện tá	này đó/những ... này
28	580.38	还有	還有	huányǒu	hoàn dựu/hoàn hữu/toàn dựu/toàn hữu	còn có
29	575.77	觉得	覺得	juédé	giác đắc/giáo đắc	cảm thấy được/nghĩ/hiểu được/cảm thấy/thấy/cho rằng/thấy rằng
30	572.1	怎么	怎麼	zěnyāo	chẩm ma/chẩm yêu	như thế nào/thế nào/sao/làm sao/thế/như thế/lắm
32	566.18	不能	不能	bùnéng	bất nai/bất năng/bất nại/phi nai/phi năng/phi nại/phầu nai/phầu năng/phầu nại/phủ nai/phủ năng/phủ nại	không thể/bất năng/không nổi/bất lực/không hiệu lực/không có khả năng/bất tài/không được phép/không đủ sức
33	565.46	孩子	孩子	háizǐ	hài tý/hài tử	đứa nhỏ/hài tử/nhi đồng/trẻ em/trẻ con/con nít/em bé/con cái/con
34	555.38	起来	起來	qǐlái	khởi lai/khởi lãi	đứng lên/ngồi dậy/đứng dậy/ngủ dậy/thức dậy/nổi dậy/vùng lên/dâng lên/lên
35	534.48	一样	一樣	yīyáng	nhất dạng	giống nhau/như nhau/cũng như/cũng thế
38	505.86	出来	出來	chūlái	xuất lai/xuất lãi/xích lai/xích lãi/xúy lai/xúy lãi	đi ra/ra/ra đây/xuất hiện/nảy ra/nổi lên/hiện ra/lòi ra
39	500.3	看到	看到	kàndào	khán đáo	nhìn đến/thấy/chứng kiến
40	492.7	那么	那麼	nàyāo	na ma/na yêu/nả ma/nả yêu	như vậy/như thế/như thế đấy/thế đó/thế đấy/thì
41	490.0	也是	也是	yěshì	dã thị	cũng là
42	486.99	喜欢	喜歡	xǐhuān	hí hoan/hí hoàn/hỉ hoan/hỉ hoàn	thích/yêu mến/ưa thích/vui mừng/mừng/vui vẻ
43	483.33	美国	美國	měiguó	mĩ quốc/mỹ quốc	nước Mỹ/Mỹ/Hoa Kỳ/Hiệp chủng quốc Hoa Kỳ/United States
44	481.97	很多	很多	hěnduō	ngận đa	rất nhiều
45	481.1	那个	那個	nàgè	na cá/nả cá	cái kia/cái đó/cái ấy/việc ấy/ghê lắm/ấy
46	475.54	不会	不會	bùhùi	bất cối/bất hội/phi cối/phi hội/phầu cối/phầu hội/phủ cối/phủ hội	sẽ không
49	464.11	你们	你們	nǐmen	nhĩ môn	các ngươi/các ông/các bà/các anh/các chị
50	457.96	这里	這裡	zhèlǐ	giá lí/giá lý/nghiện lí/nghiện lý	nơi này/ở đây/nơi đây/tại đây
51	444.28	一起	一起	yīqǐ	nhất khởi	cùng nhau/đồng thời/cùng nơi/cùng một chỗ/cùng/tổng cộng/cả thảy
53	439.65	应该	應該	yìnggāi	ưng cai/ứng cai	hẳn là/nên/cần phải/phải
57	427.06	今天	今天	jīntiān	kim thiên	hôm nay/ngày hôm nay/hiện tại/trước mắt/kim thiên
58	425.12	这么	這麼	zhèyāo	giá ma/giá yêu/nghiện ma/nghiện yêu	như vậy/như thế/thế này
59	424.73	只是	只是	zhǐshì	chi thị/chích thị/chỉ thị/kì thị	chính là/chỉ là/chẳng qua là/chỉ/nhưng/nhưng mà
61	416.46	然后	然後	ránhòu	nhiên hấu/nhiên hậu	sau đó/tiếp đó
63	406.24	可是	可是	kěshì	khả thị/khắc thị	chính là/thế nhưng/nhưng là/nhưng/nhưng mà ̣/thực là/đúng là/thật là
65	404.45	一直	一直	yīzhí	nhất trực	vẫn/thẳng/thẳng tuốt/luôn luôn/suốt/liên tục/từ
67	400.22	而且	而且	érqiě	nhi thư/nhi thả	hơn nữa/mà còn/với lại
68	395.03	需要	需要	xūyào	nhu yêu/nhu yếu	cần/phải/yêu cầu/sự đòi hỏi
71	388.91	只有	只有	zhǐyǒu	chi dựu/chi hữu/chích dựu/chích hữu/chỉ dựu/chỉ hữu/kì dựu/kì hữu	chỉ có
76	373.89	为了	為了	wèile	vi liễu/vi liệu	vì/để
77	370.21	告诉	告訴	gàosù	cáo tố	nói cho/tố cáo/tố giác/đi kiện
78	368.51	认为	認為	rènwèi	nhận vi	cho rằng/cho là
80	365.25	学校	學校	xuéxiào	học giáo/học hiệu/học hào	trường học/nhà trường
81	364.72	老师	老師	lǎoshī	lão sư	lão sư/thầy cô giáo/bậc thầy
83	361.48	不要	不要	bùyào	bất yêu/bất yếu/phi yêu/phi yếu/phầu yêu/phầu yếu/phủ yêu/phủ yếu	không cần/không nên/muốn/đừng/cấm/không được/chớ/cố gắng đừng
84	354.04	以后	以後	yǐhòu	dĩ hấu/dĩ hậu	về sau/sau đó/sau này/sau khi
85	351.36	虽然	雖然	sūirán	tuy nhiên	tuy rằng/mặc dù/tuy là
88	343.75	之后	之後	zhīhòu	chi hấu/chi hậu	lúc sau/lúc/khi/sau/sau khi/sau đó
